rematch_decision,rematch_confidence,matched_chapter_code,matched_chapter_name,matched_group_name,matched_object_path,match_source_type,match_source_file,path_count,sample_paths
YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover2.min.rxlev),1,DeviceGSM.Bts.{i}.handover2.min.rxlev
YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover2.min.rxqual),1,DeviceGSM.Bts.{i}.handover2.min.rxqual
YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover2.penalty-time.failed-assignment),1,DeviceGSM.Bts.{i}.handover2.penalty-time.failed-assignment
YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover2.penalty-time.failed-ho),1,DeviceGSM.Bts.{i}.handover2.penalty-time.failed-ho
YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover2.penalty-time.low-rxqual-assignment),1,DeviceGSM.Bts.{i}.handover2.penalty-time.low-rxqual-assignment
YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover2.penalty-time.low-rxqual-ho),1,DeviceGSM.Bts.{i}.handover2.penalty-time.low-rxqual-ho
YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover2_assignment),1,DeviceGSM.Bts.{i}.handover2.assignment
YES_QUICKSETTINGS_XML_GROUP,high,,,基站信息,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BTS.xml#bts-cell-info:基站信息(CurrentArfcn),1,Device.DeviceInfo.BTS.CurrentArfcn
YES_QUICKSETTINGS_XML_GROUP,high,,,基站信息,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BTS.xml#bts-cell-info:基站信息(CurrentLac),1,Device.DeviceInfo.BTS.CurrentLac
YES_QUICKSETTINGS_XML_GROUP,high,,,小区参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BLQ.xml#enb-cell:小区参数(CellName); omcgo/data/quicksettings/BM.xml#enb-cell:小区参数(CellName); omcgo/data/quicksettings/ENB_DEFAULT_098.xml#enb-cell:小区参数(CellName); omcgo/data/quicksettings/ENB_DEFAULT_181.xml#enb-cell:小区参数(CellName); omcgo/data/quicksettings/MLN.xml#enb-cell:小区参数(CellName); omcgo/data/quicksettings/MLQ.xml#enb-cell:小区参数(CellName),1,Device.Services.FAPService.{i}.AccessMgmt.LTE.HNBName
YES_QUICKSETTINGS_XML_GROUP,high,,,小区参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BM.xml#enb-cell:小区参数(AntennaPortsCount),1,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.AntennaInfo.AntennaPortsCount
YES_QUICKSETTINGS_XML_GROUP,high,,,小区参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BaiBNQ.xml#gnb-cell:小区参数(Band),1,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.FrequencyInfoDLSIB.MultiFrequencyBandListNRSIB.{i}.FreqBandIndicatorNR
YES_QUICKSETTINGS_XML_GROUP,high,,,小区参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BaiBNQ.xml#gnb-cell:小区参数(DLCarrierBandWidth),1,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.FrequencyInfoDLSIB.ScsSpecificCarrierList.{i}.SCSSpecificCarrier.CarrierBandwidth
YES_QUICKSETTINGS_XML_GROUP,high,,,小区参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BaiBNQ.xml#gnb-cell:小区参数(DLSubCarrierSpacing),1,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.FrequencyInfoDLSIB.ScsSpecificCarrierList.{i}.SCSSpecificCarrier.SubcarrierSpacing
YES_QUICKSETTINGS_XML_GROUP,high,,,小区参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BaiBNQ.xml#gnb-cell:小区参数(NRARFCNDL),1,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.RF.NRARFCNDL
YES_QUICKSETTINGS_XML_GROUP,high,,,小区参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BaiBNQ.xml#gnb-cell:小区参数(NRARFCNUL),1,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.RF.NRARFCNUL
YES_QUICKSETTINGS_XML_GROUP,high,,,小区参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BaiBNQ.xml#gnb-cell:小区参数(NumOfTxAntenna),1,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.Antenna.NumOfTxAntenna
YES_QUICKSETTINGS_XML_GROUP,high,,,小区参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BaiBNQ.xml#gnb-cell:小区参数(OffsetToPointA),1,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.FrequencyInfoDLSIB.OffsetToPointA
YES_QUICKSETTINGS_XML_GROUP,high,,,小区参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BaiBNQ.xml#gnb-cell:小区参数(PCI),1,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.RF.PhyCellID
YES_QUICKSETTINGS_XML_GROUP,high,,,小区参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BaiBNQ.xml#gnb-cell:小区参数(SsbSubcarrierOffset),1,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.SSB.SsbSubcarrierOffset
YES_QUICKSETTINGS_XML_GROUP,high,,,小区参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BaiBNQ.xml#gnb-cell:小区参数(ULCarrierBandWidth),1,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.FrequencyInfoULSIB.ScsSpecificCarrierList.{i}.SCSSpecificCarrier.CarrierBandwidth
YES_QUICKSETTINGS_XML_GROUP,high,,,小区参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BaiBNQ.xml#gnb-cell:小区参数(ULSubCarrierSpacing),1,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.FrequencyInfoULSIB.ScsSpecificCarrierList.{i}.SCSSpecificCarrier.SubcarrierSpacing
YES_QUICKSETTINGS_XML_GROUP,high,,,核心网参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BaiBNQ.xml#gnb-core:核心网参数(AmfIP1),1,Device.Services.FAPService.{i}.FAPControl.NR.AMFPoolConfigParam.{i}.AmfIP1
YES_QUICKSETTINGS_XML_GROUP,high,,,核心网参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BaiBNQ.xml#gnb-core:核心网参数(NrcellIdentity),1,Device.Services.FAPService.{i}.CellConfig.{i}.NR.CN.TA.{i}.NrcellIdentity
YES_QUICKSETTINGS_XML_GROUP,high,,,核心网参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BaiBNQ.xml#gnb-core:核心网参数(PLMNID),1,Device.Services.FAPService.{i}.CellConfig.{i}.NR.CN.TA.{i}.PLMNList.{i}.PLMNID
YES_QUICKSETTINGS_XML_GROUP,high,,,核心网参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BaiBNQ.xml#gnb-core:核心网参数(gNBId),1,Device.Services.FAPService.{i}.FAPControl.NR.RAN.Common.gNBId
YES_QUICKSETTINGS_XML_GROUP,high,,,核心网参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BaiBNQ.xml#gnb-core:核心网参数(gNBIdLength),1,Device.Services.FAPService.{i}.FAPControl.NR.RAN.Common.gNBIdLength
YES_QUICKSETTINGS_XML_GROUP,high,,,跟踪日志,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BM.xml#gsm-trace:跟踪日志(GsmMACStubVal),1,Device.Services.GsmBTSCellDT.{i}.GsmMACStubVal
YES_QUICKSETTINGS_XML_GROUP,high,,,跟踪日志,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BM.xml#gsm-trace:跟踪日志(GsmMACTraceMsgType),1,Device.Services.GsmBTSCellDT.{i}.GsmMACTraceMsgType
YES_QUICKSETTINGS_XML_GROUP,high,,,跟踪日志,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BM.xml#gsm-trace:跟踪日志(GsmMACTraceNum),1,Device.Services.GsmBTSCellDT.{i}.GsmMACTraceNum
YES_QUICKSETTINGS_XML_GROUP,high,,,跟踪日志,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BM.xml#gsm-trace:跟踪日志(GsmMACTtiSwitch),1,Device.Services.GsmBTSCellDT.{i}.GsmMACTtiSwitch
YES_SAME_EXISTING_GROUP_CODE,high,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,existing_mml_group_code_from_analysis,omcgo/data/model-library/standard-params-to-mml-tree-analysis-20260703.detail.csv,1,Device.DeviceInfo.{i}.UE_Count
YES_SAME_EXISTING_GROUP_CODE,high,SL,WAN口配置参数管理,VLAN 子接口,Device.Ethernet.Interface.{i}.VlanInterface.{i}.,existing_mml_group_code_from_analysis,omcgo/data/model-library/standard-params-to-mml-tree-analysis-20260703.detail.csv,1,Device.Ethernet.Interface.{i}.VlanInterface.{i}
YES_SAME_EXISTING_GROUP_CODE,high,SL,WAN口配置参数管理,VLAN 子接口 IPv4 地址,Device.Ethernet.Interface.{i}.VlanInterface.{i}.IPv4Address.{i}.,existing_mml_group_code_from_analysis,omcgo/data/model-library/standard-params-to-mml-tree-analysis-20260703.detail.csv,1,Device.Ethernet.Interface.{i}.VlanInterface.{i}.IPv4Address.{i}
YES_SAME_EXISTING_GROUP_CODE,high,SL,WAN口配置参数管理,VLAN 子接口 IPv6 地址,Device.Ethernet.Interface.{i}.VlanInterface.{i}.IPv6Address.{i}.,existing_mml_group_code_from_analysis,omcgo/data/model-library/standard-params-to-mml-tree-analysis-20260703.detail.csv,1,Device.Ethernet.Interface.{i}.VlanInterface.{i}.IPv6Address.{i}
YES_SAME_EXISTING_GROUP_CODE,high,SL,WAN口配置参数管理,以太网接口,Device.Ethernet.Interface.{i}.,existing_mml_group_code_from_analysis,omcgo/data/model-library/standard-params-to-mml-tree-analysis-20260703.detail.csv,1,Device.Ethernet.Interface.{i}
YES_SAME_EXISTING_GROUP_CODE,high,SL,WAN口配置参数管理,接口 IPv4 地址,Device.Ethernet.Interface.{i}.IPv4Address.{i}.,existing_mml_group_code_from_analysis,omcgo/data/model-library/standard-params-to-mml-tree-analysis-20260703.detail.csv,1,Device.Ethernet.Interface.{i}.IPv4Address.{i}
YES_SAME_EXISTING_GROUP_CODE,high,SL,WAN口配置参数管理,接口 IPv6 地址,Device.Ethernet.Interface.{i}.IPv6Address.{i}.,existing_mml_group_code_from_analysis,omcgo/data/model-library/standard-params-to-mml-tree-analysis-20260703.detail.csv,1,Device.Ethernet.Interface.{i}.IPv6Address.{i}
YES_SAME_EXISTING_GROUP_CODE,high,SL,WAN口配置参数管理,静态路由表项,Device.Ethernet.IpRoute.{i}.,existing_mml_group_code_from_analysis,omcgo/data/model-library/standard-params-to-mml-tree-analysis-20260703.detail.csv,1,Device.Ethernet.IpRoute.{i}
